index,name,rating,num_votes,institution,course_id,keyword,course_url,start_year,title_type,sum_rating
0,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.66,1677,University of Pennsylvania,crash-course-in-causality,arts,https://www.coursera.org/learn/crash-course-in-causality,2020,3,7815
1,A Law Student's Toolkit,4.7,1426,Yale University,law-student,law,https://www.coursera.org/learn/law-student,2019,4,6702
2,AI For Everyone,4.84,5912,DeepLearning.AI,ai-for-everyone,ai / coding,https://www.coursera.org/learn/ai-for-everyone,2014,6,28614
3,AI for Medical Diagnosis,4.6,5958,DeepLearning.AI,ai-for-medical-diagnosis,ai / coding / medical,https://www.coursera.org/learn/ai-for-medical-diagnosis,2012,6,27407
4,AI for Medical Prognosis,4.7,5631,DeepLearning.AI,ai-for-medical-prognosis,ai / coding / medical,https://www.coursera.org/learn/ai-for-medical-prognosis,2013,6,26466
5,AWS Fundamentals: Addressing Security Risk,4.16,2585,Amazon Web Services,aws-fundamentals-addressing-security-risk,aws / coding,https://www.coursera.org/learn/aws-fundamentals-addressing-security-risk,2015,8,10754
6,AWS Fundamentals: Going Cloud-native,4.69,2944,Amazon Web Services,aws-fundamentals-going-cloud-native,aws / coding,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,2013,8,13807
7,Aboriginal Worldviews and Education,4.6,1853,University of Toronto,aboriginal-education,arts,https://www.coursera.org/learn/aboriginal-education,2020,3,8524
8,Access Controls,4.57,3313,ISC,access-control-sscp,computer,https://www.coursera.org/learn/access-control-sscp,2019,6,15140
9,Accounting Analytics,4.43,3383,University of Pennsylvania,accounting-analytics,accounting,https://www.coursera.org/learn/accounting-analytics,2020,9,14987
10,Accounting Data Analytics with Python,3.5,3463,University of Illinois at Urbana-Champaign,accounting-data-analytics-python,accounting / python / coding,https://www.coursera.org/learn/accounting-data-analytics-python,2012,9,12121
11,Actualizacion en el manejo del paciente con diabetes mellitus tipo 2,4.87,1615,Universidad nacional Autonoma de Mexico,actualizacion-manejo-diabetes-tipo-2,foreign,https://www.coursera.org/learn/actualizacion-manejo-diabetes-tipo-2,2017,5,7865
12,Addiction Treatment: Clinical Skills for Healthcare Providers,4.92,2787,Yale University,addiction-treatment,medical,https://www.coursera.org/learn/addiction-treatment,2015,4,13712
13,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.63,2221,Erasmus University Rotterdam,advanced-valuation-and-strategy,commerce,https://www.coursera.org/learn/advanced-valuation-and-strategy,2019,10,10283
14,Advertising and Society,4.81,1599,Duke University,role-of-advertising,arts,https://www.coursera.org/learn/role-of-advertising,2014,3,7691
15,Agile Meets Design Thinking,4.79,2346,University of Virginia,uva-darden-getting-started-agile,designing,https://www.coursera.org/learn/uva-darden-getting-started-agile,2020,9,11237
16,Agile with Atlassian Jira,4.67,1759,Atlassian,agile-atlassian-jira,foreign,https://www.coursera.org/learn/agile-atlassian-jira,2015,5,8215
17,Agile Scrum,4.73,1539,E-Learning Development Fund,upravleniya-proektami-agile-scrum,foreign,https://www.coursera.org/learn/upravleniya-proektami-agile-scrum,2019,5,7279
18,Algorithmic Toolbox,4.53,3072,University of California San Diego,algorithmic-toolbox,coding,https://www.coursera.org/learn/algorithmic-toolbox,2012,6,13916
